Chihuahua,0.6
Japanese spaniel,0.7
Maltese dog,0.6
Pekinese,0.7
Shih-Tzu,0.7
Blenheim spaniel,0.9
papillon,0.6
toy terrier,0.6
Rhodesian ridgeback,1.7
Afghan hound,1.4
basset,1.4
beagle,1
bloodhound,1.7
bluetick,1.4
black-and-tan coonhound,1.4
Walker hound,1.4
English foxhound,1.5
redbone,1.4
borzoi,1.6
Irish wolfhound,1.8
Italian greyhound,0.7
whippet,1.1
Ibizan hound,1.4
Norwegian elkhound,1.4
otterhound,1.7
Saluki,1.4
Scottish deerhound,1.6
Weimaraner,1.5
Staffordshire bullterrier,1.1
American Staffordshire terrier,1.4
Bedlington terrier,0.9
Border terrier,0.8
Kerry blue terrier,1.1
Irish terrier,1.1
Norfolk terrier,0.7
Norwich terrier,0.7
Yorkshire terrier,0.6
wire-haired fox terrier,0.9
Lakeland terrier,0.8
Sealyham terrier,0.9
Airedale,1.4
cairn,0.8
Australian terrier,0.8
Dandie Dinmont,0.9
Boston bull,0.8
miniature schnauzer,0.8
giant schnauzer,1.6
standard schnauzer,1.3
Scotch terrier,0.9
Tibetan terrier,0.9
silky terrier,0.7
soft-coated wheaten terrier,1.2
West Highland white terrier,0.8
Lhasa,0.8
flat-coated retriever,1.5
curly-coated retriever,1.6
golden retriever,1.5
Labrador retriever,1.5
Chesapeake Bay retriever,1.5
German short-haired pointer,1.4
vizsla,1.4
English setter,1.5
Irish setter,1.4
Gordon setter,1.4
Brittany spaniel,1.2
clumber,1.5
English springer,1.3
Welsh springer spaniel,1.3
cocker spaniel,1.1
Sussex spaniel,1.3
Irish water spaniel,1.4
kuvasz,1.7
schipperke,0.8
groenendael,1.4
malinois,1.4
briard,1.8
kelpie,1.2
komondor,1.7
Old English sheepdog,1.6
Shetland sheepdog,0.8
collie,1.5
Border collie,1.3
Bouvier des Flandres,1.5
Rottweiler,1.7
German shepherd,1.5
Doberman,1.6
miniature pinscher,0.7
Greater Swiss Mountain dog,1.7
Bernese mountain dog,1.7
Appenzeller,1.4
EntleBucher,1.4
boxer,1.5
bull mastiff,1.7
Tibetan mastiff,1.8
French bulldog,1
Great Dane,1.8
Saint Bernard,1.8
Eskimo dog,1.1
malamute,1.6
Siberian husky,1.3
affenpinscher,0.7
basenji,1
pug,0.8
Leonberg,1.6
Newfoundland,1.8
Great Pyrenees,1.8
Samoyed,1.3
Pomeranian,0.6
chow,1.5
keeshond,1.2
Brabancon griffon,0.7
Pembroke,1.1
Cardigan,1.1
toy poodle,0.6
miniature poodle,1.1
standard poodle,1.4
Mexican hairless,1.1
dingo,1.2
dhole,1.2
African hunting dog,1.4
Shiba Inu,1.1
American Bulldog,1.6
American Pit Bull Terrier,1
Basset Hound,1
Havanese,1
Japanese chin,1
Bichon Frise,0.7
Jack Russell Terrier,0.8
Jagdterrier,0.9
Russian Spaniel,1.1
Estonian Hound,1.2
Shar Pei,1.4
Pit Bull,1.4
English Bulldog,1.4
Australian Shepherd,1.4
Akita Inu,1.4
Dalmatian,1.4
Russian Hound,1.4
German Wirehaired Pointer,1.5
Bull Terrier,1.5
English Greyhound,1.5
Ca de Bou,1.5
Dogo Argentino,1.6
Wolfdog,1.6
East European Shepherd,1.6
Beauceron,1.6
Cane Corso,1.7
Caucasian Shepherd,1.7
Black Russian Terrier,1.7
Moscow Watchdog,1.7
Neapolitan Mastiff,1.8
Boerboel,1.8
Dogue de Bordeaux,1.8
Central Asian Shepherd,1.9
English Mastiff,1.9
